config,gene,rna_protein_correlation,rna_trust,n_candidates,n_pos_gold,n_pos_found,n_neg_gold,n_neg_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink,Jaccard_vs_A0@10_ties
A0_team_baseline,GFAP,0.4672320364674756,0.9082497021089315,1513,2,2,0,0,0.3333333333333333,0.5,0.6131471927654584,0.4,1.0,0.8772153153380493,0.2,1.0,0.8772153153380493,1.0,,1.0
A1a_no_direct_protein,GFAP,0.4672320364674756,0.9082497021089315,1513,2,2,0,0,0.3333333333333333,0.5,0.6131471927654584,0.4,1.0,0.8772153153380493,0.2,1.0,0.8772153153380493,1.0,,0.6666666666666666
A1b_no_protein_evidence,GFAP,0.4672320364674756,0.9082497021089315,1513,2,2,0,0,0.3333333333333333,0.5,0.38685280723454163,0.4,1.0,0.6240505200038379,0.2,1.0,0.6240505200038379,0.5,,0.5384615384615384
A2_no_confidence,GFAP,0.4672320364674756,0.9082497021089315,1513,2,2,0,0,0.3333333333333333,0.5,0.38685280723454163,0.4,1.0,0.6509209298071326,0.2,1.0,0.6509209298071326,0.5,,0.8181818181818182
A3_equal_bio,GFAP,0.4672320364674756,0.9082497021089315,1513,2,2,0,0,0.3333333333333333,0.5,0.6131471927654584,0.4,1.0,0.8772153153380493,0.2,1.0,0.8772153153380493,1.0,,1.0
A3b_reversed_bio,GFAP,0.4672320364674756,0.9082497021089315,1513,2,2,0,0,0.3333333333333333,0.5,0.6131471927654584,0.4,1.0,0.8772153153380493,0.2,1.0,0.8772153153380493,1.0,,0.8181818181818182
A4_adaptive_trust,GFAP,0.4672320364674756,0.9082497021089315,1513,2,2,0,0,0.3333333333333333,0.5,0.6131471927654584,0.4,1.0,0.8772153153380493,0.2,1.0,0.8772153153380493,1.0,,1.0
A5_v3_structure,GFAP,0.4672320364674756,0.9082497021089315,1513,2,2,0,0,0.3333333333333333,0.5,0.6131471927654584,0.4,1.0,0.8772153153380493,0.2,1.0,0.8772153153380493,1.0,,0.8181818181818182
A6_v3_full,GFAP,0.4672320364674756,0.9082497021089315,1513,2,2,0,0,0.3333333333333333,0.5,0.6131471927654584,0.4,1.0,0.8772153153380493,0.2,1.0,0.8772153153380493,1.0,,0.8181818181818182
B0_rna_mean,MET,0.8328680977941175,1.0,1513,2,2,1,1,0.3333333333333333,0.5,0.38685280723454163,0.4,1.0,0.6509209298071326,0.2,1.0,0.6509209298071326,0.5,0.8115079365079365,0.8181818181818182
A0_team_baseline,MET,0.8328680977941175,1.0,1513,2,2,1,1,0.6666666666666666,1.0,0.6934264036172708,0.4,1.0,0.6934264036172708,0.2,1.0,0.6934264036172708,0.5,0.7757936507936508,1.0
A1a_no_direct_protein,MET,0.8328680977941175,1.0,1513,2,2,1,1,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,1.0,0.7718253968253969,0.8181818181818182
